Doctor Name,Address,PTR
EFREN CRESENCIO,nan,nan
FLORANIE PAREDES,nan,nan
CHARLES MICHAEL TABORA,nan,nan
CINDY TAN,nan,nan
DIAMOND ARCO,nan,nan
ALEX JUNIA,nan,nan
MARIA. DELFA ZANORIA,nan,nan
JACKY OMANDAM,nan,nan
LERMA NOVAL,nan,nan
JOHN VIOLA,nan,nan
MA. LIZ BANDOY,nan,nan
SUSAN DENURA,nan,nan
ARVIN DELA VEGA,nan,nan
MALBAR FERRER,nan,nan
DEBBIE LYN UDARBE,nan,nan
ANNA FRANCESKA ABARQUEZ,nan,nan
RAYMUND DARIUS LIBERATO,nan,nan
RINA PORCIUNCULA CONCEPCION,nan,nan
MARY THERESE FELISA SAYO,nan,nan
AMANDA MAE RAMOS,nan,nan
ASUNCION TURGANO,nan,nan
ABEL BALUYOT,nan,nan
EDWIN FORTUNO,nan,nan
ELIZA VALENZULA,nan,nan
ARLIN MANGASER,nan,nan
GERARDO NALLAS,nan,nan
ENRIQUE JAN PUENTESPINA,nan,nan
DAN PHILIP HERNANDEZ,nan,nan
ALEXANDER UY,nan,nan
MARIA CONCEPCION  PRINCESA,nan,nan
ANTHONY PAMA,nan,nan
DANIEL JUDE LIPAYON,nan,nan
IRISH JUDY GONZALES,nan,nan
AIRA CRISSELE JOSON,nan,nan
GAVIOLA MARIA ROWENA,nan,nan
MA. ESTHER ESTRELLADO,nan,nan
JAYVEE GUTIERREZ,nan,nan
FROILAN DE CASTRO,nan,nan
RAYMOND DELA CRUZ,nan,nan
MARCELO LIM,nan,nan
ERWIN DEL ROSARIO,nan,nan
JOSE RUFINO PADILLA,nan,nan
MARK EVANGELISTA,nan,nan
MARIEL BARCELON CRUZ,nan,nan
EZRA SEVILLA,nan,nan
ROBERT MICHAEL GAN,nan,nan
LOURDES RHODA PADILLA,nan,nan
LEILANI BALDEVISO,nan,nan
MARIELLE MALIG,nan,nan
MICHAEL MARTIN LAGMAN,nan,nan
ELLEN MAY BIBOSO,nan,nan
IVY CATHERINE RIVERA -  GO,nan,nan
MELANIE LLGAS,nan,nan
MARITONI ILAO,nan,nan
LAARNIE MORENO,nan,nan
MARIANNE SY,nan,nan
MICHEAL  DE GUZMAN,nan,nan
LESLIE DAPHNE KAWAJI,nan,nan
AIMEE SILVA,nan,nan
GERTIE MAY PLAMERAS,nan,nan
ANTONIO HERRADURA,nan,nan
DAN DENNIS DE LEON,nan,nan
ALVIN VERGARA,nan,nan
RACHEL MARCELLANO,nan,nan
ERLINDA RAYOS DEL SOL,nan,nan
CRISLEEN QUILICOT,nan,nan
ALEXIS LUSTRE,nan,nan
STEPHEN ROBERTS,nan,nan
WILFREDO DE GUZMAN,nan,nan
ROSS MANZANO,nan,nan
PHILIP CASINO,nan,nan
IAN HEDRICK CABADING,nan,nan
MAGIE MEMBREBE,nan,nan
PATRICK JAMES CO,nan,nan
NEIL GOMEZ,nan,nan
YSIS JACOBA,nan,nan
RICHARD ARELLANO,nan,nan
ROY RESURRECION,nan,nan
ANDREW ESPIRITU,nan,nan
SIMON MALIJAN,nan,nan
MICHEAL OLIVAREZ,nan,nan
CAROL TUSI,nan,nan
GUTIERREZ JERICHO,nan,nan
ROBERTO RANGEL,nan,nan
NATHANIEL CORTEZ,nan,nan
MELODY BARROGA,nan,nan
CLARITO REYES,nan,nan
CAMILO JOVITO RIVERA,nan,nan
GENOVEVA SIBAYAN,nan,nan
MELANIE VALDEZ,nan,nan
ELLEN PALOMARES,nan,nan
EVANGELINE PIPO,nan,nan
JANSEN MANCERA,nan,nan
ROWENA EUSEBIO DELORINO,nan,nan
MYLEEN ESCALONA LUCERO,nan,nan
CINDY JOSOL BLANCAVER,nan,nan
CLAIRE JANDUG,nan,nan
ANNA REBUROSA,nan,nan
LAILA BOSTON,nan,nan
RODOLFO YU,nan,nan
MARCI CRUZ,nan,nan
MELQUIDES PUA,nan,nan
MACARIO NAPULAN,nan,nan
JOY JAVIER,nan,nan
DAISY TABUENA,nan,nan
ROLLIN TABUENA,nan,nan
KENNETH IDIO,nan,nan
ALISTAIR DELA CRUZ,nan,nan
GREGORY ARDENIA,nan,nan
CARINA FRAYCO,nan,nan
ARNEE PACETE,nan,nan
HYGEIA TIBON,nan,nan
MYLA VARON,nan,nan
FEL ABEJAR,nan,nan
ANGEL ARANETA,nan,nan
GRACE ATIS,nan,nan
Kathleen Panabang,nan,nan
Malbert Cardino,nan,nan
LEAH NITA VERDILLO,nan,nan
LALAINE DELOS SANTOS,nan,nan
NENITA CABACES,nan,nan
Andrew Wong,nan,nan
VINCENT BRAVO,nan,nan
MAE RHEA PACOLI,nan,nan
MARYANN SAMSON,nan,nan
KRISTINE ASTRID CUIZON,nan,nan
FLORDELIS LEGASPI,nan,nan
WAYNILA MAE LIM,nan,nan
MERLINDA ORTIZ,nan,nan
ANGELIQUE LIMQUIACO,nan,nan
WILFREDO YPIL,nan,nan
CHERRIE GAIL GONZALES,nan,nan
WINROSE BITOON,nan,nan
JONATHAN MERCADO,nan,nan
CAROL BALIGOD,nan,nan
ROMUALDO MODESTO,nan,nan
HARIETT PORSUELO TORRES,nan,nan
MARLON MANABAT,nan,nan
CRISTINA DOMINGO,nan,nan
THEA MISADOR,nan,nan
JOSEPH SO,nan,nan
PAULA ERIKA REYES,nan,nan
ROMEL ALBERTO,nan,nan
MICHAEL JAMES DELA CRUZ,nan,nan
FERDINAND RUBIO,nan,nan
DOLORES MANESE,nan,nan
RHONDA BRINGAS,nan,nan
MAJA KATHERINE LINGAD,nan,nan
JOY MALLARI,nan,nan
JEAM ALOJIPAN,nan,nan
RHODORA PESEBRE,nan,nan
BAUTISTA EDITHA,nan,nan
EMILY PAULINO,nan,nan
MYRNA CRUZ,nan,nan
JOLLIBEE SARMIENTO,nan,nan
THERESITA BONILLA,nan,nan
MIGUEL MANICAD,nan,nan
